"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 25 04:39:41 UTC 2025","Thu Dec 25 04:39:42 UTC 2025","1483","","examples.inventory.InventoryDisplayTests","","examples.inventory.InventoryDisplayTests","testAllProductsDisplayed","TC-006: Отображение всех товаров на странице каталога",""
"passed","Thu Dec 25 04:39:49 UTC 2025","Thu Dec 25 04:39:51 UTC 2025","1422","","examples.inventory.InventorySortingTests","","examples.inventory.InventorySortingTests","testSortByNameDescending","TC-008: Сортировка товаров по имени (Z to A)",""
"passed","Thu Dec 25 04:39:24 UTC 2025","Thu Dec 25 04:39:28 UTC 2025","3589","","examples.cart.CartOperationsTests","","examples.cart.CartOperationsTests","testNavigateToCart","TC-016: Переход в корзину через иконку корзины",""
"passed","Thu Dec 25 04:39:34 UTC 2025","Thu Dec 25 04:39:40 UTC 2025","6428","","examples.inventory.InventoryDisplayTests","","examples.inventory.InventoryDisplayTests","testNavigateToProductDetails","TC-011: Переход на страницу детальной информации о товаре",""
"passed","Thu Dec 25 04:39:45 UTC 2025","Thu Dec 25 04:39:48 UTC 2025","2711","","examples.inventory.InventorySortingTests","","examples.inventory.InventorySortingTests","testSortByPriceLowToHigh","TC-009: Сортировка товаров по цене (Low to High)",""
"passed","Thu Dec 25 04:38:55 UTC 2025","Thu Dec 25 04:39:20 UTC 2025","24440","","examples.cart.CartOperationsTests","","examples.cart.CartOperationsTests","testAddMultipleProductsToCart","TC-015: Добавление нескольких товаров в корзину",""
"passed","Thu Dec 25 04:39:51 UTC 2025","Thu Dec 25 04:39:53 UTC 2025","2094","","examples.cart.CartOperationsTests","","examples.cart.CartOperationsTests","testCartDisplaysProducts","TC-017: Отображение товаров в корзине",""
"passed","Thu Dec 25 04:39:22 UTC 2025","Thu Dec 25 04:39:27 UTC 2025","5120","","examples.checkout.CheckoutFlowTests","","examples.checkout.CheckoutFlowTests","testCheckoutWithoutLastName","TC-023: Попытка продолжить чекаут без заполнения Last Name",""
"passed","Thu Dec 25 04:39:35 UTC 2025","Thu Dec 25 04:39:49 UTC 2025","13913","","examples.cart.CartOperationsTests","","examples.cart.CartOperationsTests","testRemoveProductFromInventory","TC-014: Удаление товара из корзины через каталог",""
"passed","Thu Dec 25 04:39:35 UTC 2025","Thu Dec 25 04:39:39 UTC 2025","3872","","examples.navigation.NavigationTests","","examples.navigation.NavigationTests","testLogoutThroughBurgerMenu","TC-029: Logout через бургер-меню",""
"passed","Thu Dec 25 04:39:54 UTC 2025","Thu Dec 25 04:39:55 UTC 2025","1248","","examples.checkout.CheckoutFlowTests","","examples.checkout.CheckoutFlowTests","testCancelOnCheckoutInfoPage","TC-027: Кнопка Cancel на странице информации о покупателе",""
"passed","Thu Dec 25 04:39:38 UTC 2025","Thu Dec 25 04:39:51 UTC 2025","13848","","examples.checkout.CheckoutFlowTests","","examples.checkout.CheckoutFlowTests","testCompleteCheckout","TC-026: Завершение покупки (кнопка Finish)",""
